,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,qout_km3
1997-01-31,,,,,,,,0.1568616516,0.54069230592
1997-02-28,,,,,,,,0.14302077252,0.088015410432
1997-03-31,,,,,,,,0.1443541644,0.04350738134016
1997-04-30,,,,,,,,0.14974693896,0.030768083435519997
1997-05-31,,,,,,,,0.156621123,0.01848140126208
1997-06-30,,,,,,,,0.16125530736,0.008301217167359999
1997-07-31,,,,,,,,0.16814552664,0.003904728145920001
1997-08-31,,,,,,,,0.15972825912,0.0022850977996799996
1997-09-30,,,,,,,,0.15795204792,0.0016514357759999996
1997-10-31,,,,,,,,0.1387850022,0.00344232612864
1997-11-30,,,,,,,,0.13664121396,0.006622869104640001
1997-12-31,,,,,,,,0.13876156608,0.012044471592960003
1998-01-31,,,,,,,,0.1540801542,0.11753574239232001
1998-02-28,,,,,,,,0.15334746708,0.24404795569152
1998-03-31,,,,,,,,0.15520755492,0.1793826238464
1998-04-30,,,,,,,,0.15674077056,0.14647623690240005
1998-05-31,,,,,,,,0.16046834712,0.137986633728
1998-06-30,,,,,,,,0.15757460304,0.081531995904
1998-07-31,,,,,,,,0.15518658576,0.02090106049536
1998-08-31,,,,,,,,0.161986761,0.006786789396479998
1998-09-30,,,,,,,,0.14518429644,0.00485399789568
1998-10-31,,,,,,,,0.12919222824,0.005010578472959999
1998-11-30,,,,,,,,0.14433936264,0.008200907735040001
1998-12-31,,,,,,,,0.1384149582,0.016604880906239995
1999-01-31,,,,,,,,0.14042059668,0.062248119183360005
1999-02-28,,,,,,,,0.14792385552,0.20306788273152002
1999-03-31,,,,,,,,0.15248649804,0.10619099025407999
1999-04-30,,,,,,,,0.16087909596,0.08345010797568002
1999-05-31,,,,,,,,0.15954200364,0.05680205097984001
1999-06-30,,,,,,,,0.15140103564,0.020333455902720003
1999-07-31,,,,,,,,0.14488826124,0.005937829079039999
