,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,Sres_outlet
1997-01-31,,,,,,,,0.21528913224000001,4.28749260336
1997-02-28,,,,,,,,0.18884578800000001,4.40951954628
1997-03-31,,,,,,,,0.18015345444,4.68689959476
1997-04-30,,,,,,,,0.21600455064,4.85630820492
1997-05-31,,,,,,,,0.23834904084,4.72746875196
1997-06-30,,,,,,,,0.2243453424,4.28102793468
1997-07-31,,,,,,,,0.19027909176,3.63252212424
1997-08-31,,,,,,,,0.14966799624,3.15124166436
1997-09-30,,,,,,,,0.11250694428,2.84728998972
1997-10-31,,,,,,,,0.07432457088,2.85803360052
1997-11-30,,,,,,,,0.03807629412,3.12692237268
1997-12-31,,,,,,,,0.01889197968,3.37246753584
1998-01-31,,,,,,,,0.02856616332,4.1817562308
1998-02-28,,,,,,,,0.0340563828,4.4000945256
1998-03-31,,,,,,,,0.06573091572,4.3825421052
1998-04-30,,,,,,,,0.09939998580000001,5.009378139
1998-05-31,,,,,,,,0.1603585674,5.4934141932000005
1998-06-30,,,,,,,,0.22575521004,5.52862141284
1998-07-31,,,,,,,,0.23032648692,5.1156917802
1998-08-31,,,,,,,,0.18335433504,4.57024815768
1998-09-30,,,,,,,,0.14400508956,4.24449472404
1998-10-31,,,,,,,,0.10889901528,4.19874618432
1998-11-30,,,,,,,,0.0773453634,4.23775128888
1998-12-31,,,,,,,,0.05929461708,4.03298867496
1999-01-31,,,,,,,,0.04703382588,4.42587672456
1999-02-28,,,,,,,,0.044960346,4.57958190084
1999-03-31,,,,,,,,0.041800170240000004,4.76497764528
1999-04-30,,,,,,,,0.07850976852,5.2499869152
1999-05-31,,,,,,,,0.22578358008,5.30951466
1999-06-30,,,,,,,,0.2389435782,5.07801760056
1999-07-31,,,,,,,,0.20236349532,4.58475511596
1999-08-31,,,,,,,,0.1691841168,4.24051058364
1999-09-30,,,,,,,,0.1317109944,4.10440346652
1999-10-31,,,,,,,,0.09615346644,4.03981475328
1999-11-30,,,,,,,,0.06034430856,4.03150233156
1999-12-31,,,,,,,,0.028462551,3.9810381978000002
2000-01-31,,0.007163,,,,,,0.03310783668,4.56026560404
2000-02-29,,0.018283999999999998,,,,,,0.05694483768,4.75805412204
2000-03-31,,0.064027,,,,,,0.06336756804,4.62785414064
2000-04-30,,0.072377,,,,,,0.1501021812,5.12298658092
2000-05-31,,0.171234,,,,,,0.23917917288,5.07147645612
2000-06-30,,0.17882299999999998,,,,,,0.22471045248,4.71828179292
2000-07-31,,0.21576599999999999,,,,,,0.18379715436,4.096633776
2000-08-31,,0.152951,,,,,,0.14416050804,3.75412351656
2000-09-30,,0.083871,,,,,,0.11567328744,3.68209938588
2000-10-31,,0.018091,,,,,0.05482551337080077,0.08551593492,3.62810503236
2000-11-30,,0.024259,,,,,0.08401293563272157,0.05286448584,3.5594285664
2000-12-31,,0.0031149999999999997,,,,,0.13508091439213604,0.0222396444,3.590506095
2001-01-31,1.273920230576417,0.01181,0.23873582510075833,0.5580160569062048,1.29157243604992,0.37148716120918956,0.3206409839969129,0.01302184836,3.74397444312
2001-02-28,2.1406636042403053,0.022276999999999998,0.22977710622521408,0.4202722766395917,1.655864379406858,0.5251063814425413,0.6440264179855586,0.01227559296,4.31220784212
2001-03-31,1.127158522790236,0.058584,0.4719019903387941,1.6660689439483303,1.9005274561355296,0.5269154001260781,0.4890268008895219,0.0403471308,4.87939895052
2001-04-30,1.1592481906214414,0.090458,0.4854252086709621,1.638716961159559,1.7057472743074635,0.5195163846210031,0.28826896206382663,0.08123329236,4.95867717708
2001-05-31,0.11262400514807112,0.100683,0.8441987230628031,4.3292686612782605,1.0366743524596957,0.32771363193586595,0.0,0.19275345264,4.66566770352
2001-06-30,0.4807206571587918,0.195485,0.4569947027320145,3.0232451145370325,0.6680362645463842,0.14570760475003158,0.0,0.17209636308,4.04961105144
2001-07-31,0.1490953449009766,0.218631,0.7050032676157844,5.063572252634818,0.49336175698522355,0.048970601455202885,0.0,0.13781918736,3.35022295752
2001-08-31,0.015073287797815136,0.122191,0.4667108400733832,4.777992489914892,0.39782721594347925,0.01574076511311012,0.0,0.1050554916,2.94747693576
2001-09-30,0.5927475798248386,0.084934,0.5170775432592412,3.446318675669012,0.33587012607196864,0.007031766182944503,0.0,0.07616368956,2.7132156476400002
2001-10-31,0.6016015660079974,0.006588999999999999,0.32133047725712677,1.5161544416614627,0.2978912952219608,0.0037796906593312233,0.0,0.04606554408,2.67301406748
2001-11-30,3.2291346710327726,0.007346999999999999,0.20462664684153536,0.6991594680199329,1.7770933829736404,0.04254670965014046,0.15742914842255418,0.0356722416,2.8177419763200002
2001-12-31,3.700321301948893,0.012253,0.061163081586492585,0.0717514689214297,2.22412809467904,0.4039549247858835,0.5018395263347776,0.02608563504,3.68349445176
2002-01-31,1.644335740234543,0.008457,0.1597060982010559,0.27006741197903833,2.2686222325908583,0.20961237272279168,0.6136667110901326,0.01467964548,4.3376372658
2002-02-28,1.3320234347934035,0.006548,0.2874762792406943,0.821674518425777,2.3781453817028773,0.3462072562488653,0.6785221109353006,0.02147365332,4.73600073312
2002-03-31,1.2276391594929743,0.051779,0.3167792859592017,1.2658509887708336,2.3165836914756266,0.36390071157934895,0.7262567210793496,0.01890801492,5.10185953548
2002-04-30,0.952271499181373,0.076504,0.5052965785776322,1.7239164595208953,1.9611044271168252,0.26312524928928777,0.3647347409295035,0.10061866404,5.29991448516
